name,owner_raw,type,status,latitude,longitude,county,city
Unknown - 3661,SCE Northern,SUBSTATION,Operational,34.84898356,-118.36968579,Kern County,
Unknown - 3662,SCE Metro,DEAD END,Operational,33.71526316,-117.84462791,Orange County,Santa Ana
Capwind,SCE,SUBSTATION,Operational,33.87760066,-116.46435198,Riverside County,Cathedral City
Capacitor,SCE,SUBSTATION,Operational,33.6712108,-115.55897075,Riverside County,
Unknown - 3665,SCE Metro,SUBSTATION,Operational,33.90006411,-118.15152167,Los Angeles County,Paramount
MWD Lake Mathews,SCE,SUBSTATION,Operational,33.85479125,-117.45388571,Riverside County,
Banwind,SCE,SUBSTATION,Operational,33.91713009,-116.7345964,Riverside County,
Unknown - 3667,SCE Eastern,SUBSTATION,Operational,33.11917847,-116.01046921,Imperial County,
Perris,SCE,SUBSTATION,Operational,33.83564639,-117.18306163,Riverside County,
Unknown - 3668,SCE Metro,RISER,Operational,33.85388259,-117.87652866,Orange County,Anaheim
Unknown - 3670,SCE Metro,SUBSTATION,Operational,34.26413011,-117.60970603,San Bernardino County,
Unknown - 3671,SCE Metro,SUBSTATION,Operational,33.91723014,-117.98541065,Los Angeles County,La Mirada
Ivyglen Meter,SCE,SUBSTATION,Operational,33.76021364,-117.48136235,Riverside County,Temescal Valley
Unknown - 3672,SCE Metro,RISER,Operational,34.03452602,-118.07606866,Los Angeles County,"Los Angeles--Long Beach--Anaheim, CA"
Inland Empire,SCE,SUBSTATION,Operational,33.7385035,-117.16990194,Riverside County,Menifee
Unknown - 3675,SCE Metro,SUBSTATION,Operational,33.85943015,-117.9115189,Orange County,Anaheim
Unknown - 3676,SCE Metro,RISER,Operational,33.88901914,-117.88989289,Orange County,Fullerton
Unknown - 3677,SCE Metro,RISER,Operational,33.80883815,-117.8442739,Orange County,Orange
Unknown - 3678,SCE Metro,SUBSTATION,Operational,33.81389615,-117.8222719,Orange County,Villa Park
Unknown - 3681,SCE Eastern,NOT AVAILABLE,Operational,34.05585716,-117.31927364,San Bernardino County,Colton
Unknown - 3682,SCE Metro,SUBSTATION,Operational,33.85947115,-117.90693889,Orange County,Anaheim
Unknown - 3688,SCE Metro,SUBSTATION,Operational,34.07182482,-118.4673247,Los Angeles County,Los Angeles
Unknown - 3690,SCE Metro,RISER,Operational,33.65241617,-117.9442669,Orange County,Costa Mesa
Unknown - 3692,SCE Metro,RISER,Operational,34.03589508,-117.76303795,Los Angeles County,Pomona
Unknown - 3693,SCE Northern,TAP,Operational,35.05293811,-118.31034858,Kern County,
Unknown - 3695,SCE Northern,TAP,Operational,34.43025427,-119.87187666,Santa Barbara County,Goleta
Unknown - 3696,SCE Metro,TAP,Operational,33.92690027,-118.01207342,Los Angeles County,South Whittier
Tule,SCE,SUBSTATION,Operational,36.13581841,-118.78901891,Tulare County,
Oxgen,SCE,SUBSTATION,Operational,34.19592534,-119.16687774,Ventura County,Oxnard
Willamette,SCE,SUBSTATION ASSUMED,Operational,34.14296564,-119.1827927,Ventura County,Oxnard
Oxnard Wastewater ,SCE,SUBSTATION,Operational,34.1411322,-119.18448155,Ventura County,Oxnard
SS3144 Tap,SCE Metro,TAP,Operational,34.12100843,-118.22641132,Los Angeles County,Los Angeles
Lehman,SCE,SUBSTATION,Operational,34.15666741,-119.20919042,Ventura County,Port Hueneme
Unknown - 3705,SCE Metro,TAP,Operational,33.94866983,-118.22500531,Los Angeles County,South Gate
Unknown - 3712,SCE Northern,TAP,Operational,36.29821639,-119.3672235,Tulare County,
Unknown - 3714,SCE Metro,TAP,Operational,33.9547171,-118.06753172,Los Angeles County,Santa Fe Springs
Unknown - 3718,SCE Metro,TAP,Operational,33.86432314,-117.77544691,Orange County,Anaheim
