substation_name,substation_id,division,voltage_kv,num_banks,ungrounded_banks,existing_dg_kw,queued_dg_kw,total_dg_kw,redacted,longitude,latitude
KING CITY,18203,Central Coast,12,3,,1740,1898,3638,NO,-121.12682030175492,36.21705442156273
VIEJO,18285,Central Coast,21,2,,9700,3830,13530,NO,-121.90842396908974,36.578607210500685
BURNS,18358,Central Coast,21,1,,4542,4997,9539,NO,-122.14368831593914,37.09517776069064
TAFT,25208,Kern,12,2,,9841,19961,29802,NO,-119.48227773692136,35.13623071502375
CORCORAN,25217,Fresno,12,2,,9969,12912,22881,NO,-119.55733517121652,36.1097291421788
BEAR VALLEY,25219,Yosemite,21,1,1,3233,3469,6702,NO,-120.12582981367848,37.58580609306456
BIOLA,25221,Fresno,12,1,,5226,5563,10789,NO,-120.11415824294245,36.79252636020794
LIVINGSTON,25226,Yosemite,12,2,,5777,7998,13775,NO,-120.76057836344424,37.36355711461608
CALIFORNIA AVE,25228,Fresno,12,3,,2165,4562,6727,NO,-119.76422834299458,36.719767228548164
REEDLEY,25234,Fresno,12,2,,6494,16665,23159,NO,-119.37597494144654,36.604246761895766
SAN JOAQUIN,25236,Fresno,12,2,1,3780,3828,7608,NO,-120.17810289515532,36.62114126800271
DAIRYLAND,25242,Yosemite,12,2,,11244,13531,24775,NO,-120.31690423390411,37.055238199109
GUERNSEY,25266,Fresno,12,2,,12261,15921,28182,NO,-119.65578907910823,36.22643077790519
HENRIETTA,25268,Fresno,12,2,,5047,5314,10361,NO,-119.90482761916222,36.24184869376041
KERN OIL,25272,Kern,12,3,,9553,9970,19523,NO,-119.02040105128607,35.44071661874439
OROSI,25284,Fresno,12,2,,4136,4325,8461,NO,-119.25124980163159,36.54494016402164
HURON,25316,Fresno,12,2,,3078,4583,7661,NO,-120.10386221168733,36.18607144784237
HAMMONDS,25340,Yosemite,12,1,,900,900,1800,NO,-120.60261292866963,36.71999629266149
FIREBAUGH,25347,Yosemite,12,1,,2596,2797,5393,NO,-120.46584352793641,36.850794131202676
LERDO,25349,Kern,12,2,,2673,8323,10996,NO,-119.15186971490877,35.500438317703164
SMYRNA,25355,Kern,12,2,,15570,26180,41750,NO,-119.45528357473574,35.717948469880604
STROUD,25366,Fresno,12,1,,2323,2855,5178,NO,-120.10431099777813,36.53114916455339
WESTPARK,25370,Kern,12,3,,3642,4454,8096,NO,-119.04033986202364,35.37405023329696
HARDWICK,25371,Fresno,12,1,1,14120,2030,16150,NO,-119.68552509820789,36.40415088193051
LAMONT,25391,Kern,12,2,,7732,11237,18969,NO,-118.8617741098652,35.29714530040142
GATES,25393,Fresno,12,2,,3209,4209,7418,NO,-120.1233876281544,36.138757513033894
EL PECO,25398,Yosemite,12,2,1,1994,12676,14670,NO,-120.16446451789515,36.88099449637093
SANTA NELLA,25405,Yosemite,12,2,1,5078,6012,11090,NO,-121.01318384348406,37.08567509415812
CHOWCHILLA,25410,Yosemite,12,2,,7970,9081,17051,NO,-120.25043505532854,37.12083563007519
GOOSE LAKE,25420,Kern,12,2,,2430,10408,12838,NO,-119.57986582808483,35.60174548016343
WELLFIELD,25429,Kern,12,2,1,0,0,0,NO,-118.77833722283751,35.22496336365365
WILSON,25430,Yosemite,12,1,,1601,1892,3493,NO,-120.40695900507795,37.2934446066299
7TH STANDARD,25458,Kern,21,2,,4012,4068,8080,NO,-119.13116637687604,35.43969344317223
JACOBS CORNER,25477,Fresno,12,2,"1,2",3027,3192,6219,YES,-119.77959785166227,36.22220579820744
TEVIS,25532,Kern,21,3,,65270,6710,71980,NO,-119.12911695167334,35.31940074614067
LE GRAND,25536,Yosemite,12,1,,4275,5049,9324,NO,-120.27370723472944,37.18467134480297
CHANNEL,16307,Stockton,12,1,1,1959,2414,4373,NO,-121.33245614324007,37.95540129864133
OTTER,18294,Central Coast,12,1,1,488,804,1292,NO,-121.89862348687923,36.38026746652593
WALNUT CREEK,01220,Diablo,4.16,2,,1217,1433,2650,NO,-122.06085617174195,37.904820730988014
OILFIELDS,18239,Central Coast,12,2,,10136,21973,32109,NO,-120.85149439691291,35.956083731993004
GOLDTREE,18258,Los Padres,12,1,,15,15,30,NO,-120.69304755782936,35.32026204712884
MC ARTHUR,10349,North Valley,12,1,,2691,12587,15278,NO,-121.40819070502691,41.0514109866347
DOS PALOS,25404,Yosemite,12,1,1,5205,11434,16639,NO,-120.63479080838368,36.97511066443014
FELLOWS,25424,Kern,21,2,,38,38,76,YES,-119.58611007274463,35.19473434349657
PITTSBURG,01216,Diablo,4.16,1,1,0,0,0,NO,-121.8692592247712,38.03070653596985
PARLIER,25229,Fresno,12,1,,3757,4253,8010,NO,-119.52147471307353,36.60756183371276
CORRAL,16299,Stockton,12,2,"1,1",13079,14282,27361,NO,-120.92528602571211,38.10147374789754
SAND CREEK,25460,Fresno,12,1,,2187,2289,4476,NO,-119.15978031526913,36.643976669263814
NEW HOPE,16208,Stockton,12,1,1,860,2514,3374,NO,-121.47310289510557,38.226101912543534
FIGARDEN,25455,Fresno,21,3,,62233,66761,128994,NO,-119.85912186746843,36.821430043824854
CARNERAS,25232,Kern,12,1,,1500,11630,13130,YES,-119.80462245906078,35.5408527000329
CROWS LANDING,16325,Yosemite,12,1,1,2174,5342,7516,YES,-121.08632626856837,37.37774567278726
LOCKHEED NO 1,08299,De Anza,12,2,,261,261,522,NO,-122.03110865958986,37.4097706587578
