name,owner_raw,owner_std,type,hifld_id,max_voltage_kv,latitude,longitude,county,city,zip_code,source,path,nearest_cats_id,nearest_cats_kv,nearest_cats_lat,nearest_cats_lon,cats_dist_km,cats_matched
Lakewood,PG&E,pge,SUBSTATION,305570.0,115.0,37.90841012924259,-122.05733485714823,Contra Costa County,Walnut Creek,94597,CEC,,7677,66,37.90841915,-122.0573089,0.0024883966737812135,True
Marsh,PG&E,pge,SUBSTATION,303575.0,60.0,37.90286541425741,-121.72269574977582,Contra Costa County,Brentwood,94513,CEC,,91,66,37.90286541,-121.7226958,4.431960398287135e-06,True
Meadow Lane,PG&E,pge,SUBSTATION,307646.0,115.0,37.96324325632197,-122.05225312487916,Contra Costa County,Concord,94520,CEC,,92,115,37.96324326,-122.0522531,2.219087146770898e-06,True
Moraga,PG&E,pge,SUBSTATION,301876.0,230.0,37.84776392918334,-122.16083185480454,Contra Costa County,Orinda,94563,CEC,East Bay,8849,115,37.84775964,-122.1608387,0.0007672772014901807,True
Pittsburg,PG&E,pge,SUBSTATION,306987.0,230.0,38.03682199694362,-121.89679600317832,Contra Costa County,Pittsburg,94565,CEC,East Bay,8112,115,38.03680732,-121.896811,0.002094864746425237,True
Point Pinole,PG&E,pge,SUBSTATION,302095.0,115.0,37.9959215829392,-122.34810313924945,Contra Costa County,Richmond,94806,CEC,,93,115,37.99592158,-122.3481031,3.4548307083186313e-06,True
Port Costa Brick,Other,other,SUBSTATION,303251.0,60.0,38.03732600501097,-122.1780959904934,Contra Costa County,Unincorporated,94569,CEC,,94,66,38.03732601,-122.178096,1.0004635340687141e-06,True
Posco,Other,other,SUBSTATION,301740.0,,38.02595566398645,-121.86695876540024,Contra Costa County,Pittsburg,94565,CEC,,83,115,38.02598429,-121.8633112,0.3195125264484428,True
Rossmoor,PG&E,pge,SUBSTATION,309537.0,230.0,37.86465421625634,-122.08032327587512,Contra Costa County,Walnut Creek,94549,CEC,,2146,66,37.89510414,-122.0737283,3.4349950031449343,False
San Ramon Research Cntr.,PG&E,pge,,,230.0,37.78241595866594,-121.96766243161322,Contra Costa County,Danville,94583,CEC,,95,230,37.78241596,-121.9676624,2.78219417163365e-06,True
San Pablo,PG&E,pge,SUBSTATION,307126.0,,37.98529640750591,-122.33682526254108,Contra Costa County,Richmond,94806,CEC,,8525,115,37.98526683,-122.3368173,0.0033620882683980187,True
San Ramon,PG&E,pge,SUBSTATION,309611.0,230.0,37.74472575304592,-121.93590980356208,Contra Costa County,San Ramon,94583,CEC,East Bay,7789,66,37.74468834,-121.935896,0.004333572732488804,True
Sobrante,PG&E,pge,SUBSTATION,307001.0,230.0,37.905458048175525,-122.20809506910524,Contra Costa County,Orinda,94563,CEC,,8084,230,37.90545914,-122.2081305,0.0031109220500583922,True
Narrows,PG&E,pge,SUBSTATION,309979.0,60.0,39.23512866946219,-121.26863146830156,Nevada County,Unincorporated,95977,CEC,,664,66,39.20900553,-121.3032691,4.1642041788879185,False
