model,segment,value,n,rmse,mae,r2,wape
global_mean,hour,14,1248,37.6423609248747,17.6366845551034,-0.005875743866498695,0.878468588990441
global_mean,hour,15,1248,42.71563848476711,18.103722475372233,-0.007233408282674825,0.8705288690836624
global_mean,hour,16,1248,46.5950548855002,19.281009919723747,-0.012345382498743174,0.8637774999531791
global_mean,hour,17,1248,47.752901957997395,20.022899167915455,-0.01700008874258252,0.8576835100015564
global_mean,hour,18,1248,48.90197406588542,19.57990357055608,-0.014706627506549275,0.8492018624661065
global_mean,hour,19,1248,45.37788058535083,19.076437880203766,-0.01401172862567246,0.8476996833016015
global_mean,hour,20,1248,41.2035843672642,18.723121630056678,-0.013456989938319674,0.8542532824148378
global_mean,hour,21,1248,43.4252373029121,17.99277426377513,-0.0071132053709237475,0.8642437120292772
global_mean,hour,22,1248,40.51304755292533,17.398778372955213,-0.004568725206122171,0.8742350987099682
global_mean,hour,23,1248,23.751256049748125,14.667734571937535,-0.0003011695950032589,0.8752960773605692
global_mean,utility,pge,15264,15.34623623893821,12.74784024860028,-0.15822899706727633,1.1057673920532847
global_mean,utility,sce,12672,49.95487820432976,19.885064017286503,-0.017897046314268916,0.8356574848118598
global_mean,utility,sdge,2016,25.06183103993122,19.563454934792805,-1.5286378568679697,0.5337107732513071
global_mean,sub_kv_class,66.0,17568,18.882161986266937,14.43519143522286,-0.028166558980973422,1.0268147144570774
global_mean,sub_kv_class,115.0,8928,57.438338544865566,21.245178557738587,-0.040206968359102424,0.7456802986066415
global_mean,sub_kv_class,230.0,1728,15.814104396722398,11.425250917433182,-0.33674009348447576,0.45506599728506986
global_mean,sub_kv_class,500.0,288,7.892306915285653,7.701473677364526,-19.93160318598956,0.81341243630148
cell_mean,month,1,2496,25.566204339785813,14.139063265245499,0.0002776542502890278,0.9021730816309341
cell_mean,month,2,2496,29.058969069114937,14.789519355811708,0.002191697888635158,0.8946341467322692
cell_mean,month,3,2496,28.764968661899633,14.210779897584212,0.004572935235582554,0.8802690155663578
cell_mean,month,4,2496,25.396447931069513,13.234984170640413,0.001682697539156508,0.8616333547773684
cell_mean,month,5,2496,28.364311989409003,14.681492740644025,0.005830089743767308,0.8532802061280127
cell_mean,month,6,2496,39.47257787364008,17.132721983138488,0.0077880346126650846,0.8526242283730386
cell_mean,month,7,2496,45.23964952097078,18.925121093333026,0.0073606523952327585,0.8562432696303164
cell_mean,month,8,2496,47.34950854860314,20.42917240578691,0.010508942761050188,0.8596309969882286
cell_mean,month,9,2496,51.70620625782794,21.736965371702638,0.008225603733658882,0.8749986610082365
cell_mean,month,10,2496,27.576151263892314,15.066153453531406,0.0049482106852158925,0.8694183487748851
cell_mean,month,11,2496,25.589755874635905,13.934697186160689,0.0007963868139724273,0.8840529044832973
