name,owner_raw,owner_std,type,category,matched_to_scrape,max_voltage_kv,latitude,longitude,county,city,status,cec_resolve_area,hifld_id
Lambie Energy,PG&E,pge,SUBSTATION,substation,False,230.0,38.22145263,-121.86691168,Solano County,,Operational,PGE NGBA,308802.0
Lodi Stig,PG&E,pge,SUBSTATION,substation,False,230.0,38.08793318,-121.38819275,San Joaquin County,Lodi,Operational,PGE GBA,304595.0
Metcalf Energy Center,PG&E,pge,SUBSTATION,substation,False,230.0,37.22140909,-121.74658598,Santa Clara County,San Jose,Operational,PGE GBA,309434.0
Solar - PGE,PG&E,pge,SUBSTATION,substation,False,230.0,35.38373733,-120.06017029,San Luis Obispo County,,Operational,PGE Kern,304105.0
Sunrise Power,PG&E,pge,SUBSTATION,substation,False,230.0,35.21032844,-119.58263192,Kern County,,Operational,PGE Kern,309622.0
Rock Creek,PG&E,pge,SUBSTATION,substation,False,230.0,39.90537388,-121.345596,Plumas County,,Operational,PGE NGBA,306589.0
Delevan,PG&E,pge,SUBSTATION,substation,False,230.0,39.36840297,-122.26930435,Colusa County,,Operational,PGE NGBA,307431.0
Grizzly - (PG&E),PG&E,pge,SUBSTATION,substation,False,230.0,39.91096464,-121.3275671,Plumas County,,Operational,PGE NGBA,307587.0
Kelso,PG&E,pge,SUBSTATION,substation,False,230.0,37.79748436,-121.60329746,CONTRA COSTA,,Operational,PGE GBA,303352.0
Lake View / Geysers 17,PG&E,pge,SUBSTATION,substation,False,230.0,38.82388603,-122.78130306,Lake,Cobb,Operational,PGE NGBA,309734.0
Carberry - (PG&E),PG&E,pge,SUBSTATION,substation,False,230.0,40.85914487,-121.75277277,,BURNEY,Operational,PGE NGBA,300064.0
Tranquility,PG&E,pge,SUBSTATION,substation,False,230.0,36.58931842,-120.40549505,Fresno,Levis,Operational,PGE Fresno,
Quinto,PG&E,pge,SUBSTATION ASSUMED,substation,False,230.0,37.11996941,-121.06876333,Merced ,Santa Nella,Operational,PGE Fresno,
Fink,PG&E,pge,SUBSTATION,substation,False,230.0,37.4104445,-121.17278187,Stanislaus,Crows Landing,Proposed,PGE Fresno,
Gates-Midway (Proposed),PG&E,pge,SUBSTATION,substation,False,230.0,35.77771765,-119.75847621,Kings,Kettleman City,Proposed,PGE Kern,
Rancho Seco - Bellota (Proposed),PG&E,pge,SUBSTATION,substation,False,230.0,38.13311963,-120.99698595,Calaveras,Wallace,Proposed,PGE GBA,
Midway - Wheeler Ridge (Proposed),PG&E,pge,SUBSTATION,substation,False,230.0,35.12165129,-119.26865125,KERN,TAFT,Proposed,PGE Kern,
Las Aguilas,PG&E,pge,SUBSTATION ASSUMED,substation,False,230.0,36.63182605,-120.87883715,San Benito,Llanada,,PGE Fresno,
New Sub - Gates - Templeton (Proposed) - (PG&E KERN),PG&E,pge,SUBSTATION ASSUMED,substation,False,230.0,36.04080006,-120.21387331,Kings,Avenal,Proposed,PGE Kern,
Camanche,PG&E,pge,SUBSTATION,substation,False,230.0,38.21363106,-121.02444524,San Joaquin County,,Operational,PGE GBA,309360.0
Cal Flats,PG&E,pge,SUBSTATION ASSUMED,substation,False,230.0,35.87022518,-120.32255491,Monterey County,,,PGE Fresno,
Casaloma,PG&E,pge,SUBSTATION ASSUMED,substation,False,230.0,35.34644505,-119.00508757,Kern,,,PGE Kern,
Estrella - (PGE),PG&E,pge,SUBSTATION ASSUMED,substation,False,230.0,35.63768512,-120.59915729,San Luis Obispo County,Paso Robles,,PGE Kern,
Caribou,PG&E,pge,SUBSTATION ASSUMED,substation,False,230.0,40.08603093,-121.14894052,Plumas County,TWAIN,,PGE NGBA,
Mustang - (PG&E),PG&E,pge,SUBSTATION,substation,False,230.0,36.23223107,-119.91927844,Kings,Lemore,Operational,PGE Fresno,309129.0
Old Colgate,PG&E,pge,SUBSTATION,substation,False,230.0,39.33110942,-121.18969251,Yuba County,,Operational,PGE NGBA,309956.0
Belden,PG&E,pge,SUBSTATION,substation,False,230.0,40.00740046,-121.24940873,Plumas County,Belden,Operational,PGE NGBA,303336.0
New Sub - Westley - Quinto (Proposed),PG&E,pge,SUBSTATION ASSUMED,substation,False,230.0,37.51506627,-121.23035317,Stanislaus,Patterson,,PGE Fresno,
Colusa Gen Sta,PG&E,pge,SUBSTATION,substation,False,230.0,39.36588044,-122.27029265,Colusa County,,,PGE NGBA,
Tranquillity Sw Sta,PG&E,pge,SUBSTATION,substation,False,230.0,36.59168976,-120.40293428,Fresno County,,,PGE Fresno,
Gateway Pp,PG&E,pge,SUBSTATION,substation,False,230.0,38.01636238,-121.75853944,Contra Costa County,,,PGE GBA,
New Sub - Midway - Wheeler Ridge (Proposed),PG&E,pge,SUBSTATION,substation,False,230.0,35.15800295,-119.3488547,Kern County,,Operational,PGE Kern,303320.0
New Sub - Rancho Seco - Bellota (Proposed),PG&E,pge,SUBSTATION,substation,False,230.0,38.21343125,-121.02442367,San Joaquin County,,Operational,PGE GBA,309360.0
Topaz,PG&E,pge,SUBSTATION,substation,False,230.0,35.38224508,-120.05987471,San Luis Obispo County,,Operational,PGE Kern,304105.0
Signetics,PG&E,pge,SUBSTATION,substation,False,115.0,37.38492928,-122.01296515,Santa Clara County,Sunnyvale,Operational,PGE GBA,303084.0
Gish,PG&E,pge,SUBSTATION,substation,False,115.0,37.35410059,-121.91263016,Santa Clara County,San Jose,Operational,PGE GBA,300614.0
Markham,PG&E,pge,SUBSTATION ASSUMED,substation,False,115.0,37.3362673,-121.87816304,Santa Clara County,San Jose,Operational,PGE GBA,
