name,owner_raw,owner_std,type,category,matched_to_scrape,max_voltage_kv,latitude,longitude,county,city,status,cec_resolve_area,hifld_id
Azure,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.84909757,-117.24857298,San Diego County,,,SDGE Imperial,
Bahia Point,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.77067567,-117.24599527,San Diego County,,,SDGE Imperial,
Ski Beach,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.76578774,-117.23350418,San Diego County,,,SDGE Imperial,
Garnet - SDG&E,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.80412744,-117.22531712,San Diego County,,,SDGE Imperial,
South Oceanside,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.17239424,-117.36042224,San Diego County,,,SDGE Imperial,
Agua Lagoon,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.15667913,-117.34961276,San Diego County,,,SDGE Imperial,
Carlsbad 4,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.16057376,-117.34379856,San Diego County,,,SDGE Imperial,
Davis,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.16529818,-117.34364831,San Diego County,,,SDGE Imperial,
Vista Way,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.18320442,-117.31826178,San Diego County,,,SDGE Imperial,
Phillips,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.18832635,-117.22945233,San Diego County,,,SDGE Imperial,
Alta Vista,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.19388314,-117.22397646,San Diego County,,,SDGE Imperial,
Monte Vista,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.18857101,-117.22209074,San Diego County,,,SDGE Imperial,
Vista Terrace,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.19435882,-117.22085852,San Diego County,,,SDGE Imperial,
Buena 2,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.17514962,-117.21236867,San Diego County,,,SDGE Imperial,
Buena 1,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.17504066,-117.21240057,San Diego County,,,SDGE Imperial,
El Camino Hills,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.19765399,-117.32163605,San Diego County,,,SDGE Imperial,
Mimulus,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.03097633,-117.1920854,San Diego County,,,SDGE Imperial,
Roseville 3,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.71980175,-117.22941088,San Diego County,,,SDGE Imperial,
Roseville 1,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.71976785,-117.22949715,San Diego County,,,SDGE Imperial,
Roseville 2,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.7197848,-117.22945401,San Diego County,,,SDGE Imperial,
La Jolla Farms,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.88642401,-117.24417059,San Diego County,,,SDGE Imperial,
El Secreto,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.01748283,-117.21470124,San Diego County,,,SDGE Imperial,
Ohio,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.12518837,-117.07030823,San Diego County,,,SDGE Imperial,
Grossmont,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.77876626,-116.99400127,San Diego County,,,SDGE Imperial,
Taylor - SDG&E,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.22913744,-117.22669125,San Diego County,,,SDGE Imperial,
Hawley,SDG&E,sdge,SUBSTATION,substation,False,-99.0,33.2318073,-117.2289386,San Diego County,,,SDGE Imperial,
De Anza,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.79684833,-117.21648741,San Diego County,,,SDGE Imperial,
Gesner,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.79187802,-117.20551401,San Diego County,,,SDGE Imperial,
Erlanger,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.85100847,-117.19484593,San Diego County,,,SDGE Imperial,
Burton,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.78048882,-117.1720959,San Diego County,,,SDGE Imperial,
Cass,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.79587507,-117.25152237,San Diego County,,,SDGE Imperial,
Ocasa,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.85243357,-117.25469804,San Diego County,,,SDGE Imperial,
Muirlands,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.82758145,-117.2568997,San Diego County,,,SDGE Imperial,
Country Club - SDG&E,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.84226978,-117.26302395,San Diego County,,,SDGE Imperial,
Morena 2,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.78909247,-117.2053157,San Diego County,,,SDGE Imperial,
Morena 1,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.78894197,-117.20534195,San Diego County,,,SDGE Imperial,
La Jolla Shores 1,SDG&E,sdge,SUBSTATION,substation,False,-99.0,32.84540709,-117.24873629,San Diego County,,,SDGE Imperial,
