name_norm,lat_basin,lon_basin,name_raw_basin,lat_util,lon_util,name_raw_util,dist_km
famoso,35.60504032904604,-119.20365312438253,Famoso,35.60547527167606,-119.20318663401906,FAMOSO,0.06416895923724021
fellows,35.19517778904881,-119.58529444556518,Fellows,35.19473434349657,-119.58611007274465,FELLOWS,0.08901861694822777
firebaugh,36.85058109750191,-120.46637233049564,Firebaugh,36.85079413120268,-120.4658435279364,FIREBAUGH,0.05267846325640223
florence,37.83632030709053,-122.22000455752703,Florence,37.83612012296221,-122.2202658186114,FLORENCE,0.03196694951272203
fmc,37.34735122617952,-121.92191123495176,FMC,37.34728445797068,-121.9223066818288,FMC,0.035736010125041115
foothill,35.28670653090418,-120.70591377619728,Foothill,35.28648919476478,-120.7062571845936,FOOTHILL,0.03944073966137178
foresthill,39.01930166874294,-120.83024524168704,Foresthill,39.01998695236322,-120.8293416806212,FORESTHILL,0.10908573801033322
fort ord,36.64341665332674,-121.79252517166388,Fort Ord,36.64329014858041,-121.7923827803921,FORT ORD,0.018954249953130994
fort ross,38.53959300252851,-123.22370201479188,Fort Ross,38.539950114554514,-123.22321445936709,FORT ROSS,0.05809442060343047
fort seward,40.21377701409556,-123.59638439474168,Fort Seward,40.213926195853496,-123.5966650918544,FORT SEWARD,0.029039077533459235
franklin,38.01210700210434,-122.26432998479756,Franklin,38.012370285670094,-122.26448472267798,FRANKLIN,0.032262139230492884
fremont,37.54136311404011,-121.96195742157144,Fremont,37.5418196595348,-121.961946339948,FREMONT,0.050774944064024705
french camp,37.88208898737167,-121.29036398565094,French Camp,37.881897863897066,-121.29042050604268,FRENCH CAMP,0.021823192627471042
french gulch,40.6868994531246,-122.64113796308338,French Gulch,40.6868686177047,-122.6404649477137,FRENCH GULCH,0.05685032197493814
frogtown,38.05715279971415,-120.53397105129636,Frogtown,38.05723780621027,-120.5341629491827,FROGTOWN,0.019277874790245217
fruitland,40.28584174156862,-123.8373077081287,Fruitland,40.286587508255074,-123.83681278567364,FRUITLAND,0.0929461499602152
fruitvale,35.37726759509589,-119.09268803960424,Fruitvale,35.37778171713446,-119.09265249949172,FRUITVALE,0.057258497457783934
fulton,38.49781842377962,-122.76066894697142,Fulton,38.497363244277295,-122.76136488870888,FULTON,0.07892893615800868
gabilan,36.73130337624566,-121.61331164213672,Gabilan,36.73135977881113,-121.61341084063255,GABILAN,0.010839023469384685
gansner,39.939266393185335,-120.94818507117058,Gansner,39.93961216668611,-120.94857323506642,GANSNER,0.050728975208287966
ganso,35.50111516603199,-119.44896686745672,Ganso,35.50133512445359,-119.44912437034876,GANSO,0.028310629467375205
garberville,40.10300785982294,-123.79287741477847,Garberville,40.10337464980182,-123.7925248171206,GARBERVILLE,0.050623775731050265
gates,36.14024498483854,-120.12546365722362,Gates,36.13875751303389,-120.1233876281544,GATES,0.24922175656166556
gerber,40.06410007779955,-122.15605722893883,Gerber,40.06428224737149,-122.15622506854064,GERBER,0.02478564047291868
geyserville,38.70981339234968,-122.9079796468376,Geyserville,38.70995941018712,-122.9076911568436,GEYSERVILLE,0.029836331615814234
