utility,substation_name,util_lat,util_lon,basin_lat,basin_lon,dist_to_basin_km,sub_type,substation_voltage,voltage_kv,sys_name,division,subst_id,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub,lat,lon,coord_source,nearest_cats_id,nearest_cats_kv,nearest_cats_lat,nearest_cats_lon,cats_dist_km,cats_matched
pge,WALNUT CREEK,37.904820730988014,-122.06085617174196,37.904802047538944,-122.06096087634268,0.0094183904386357,,,4.16,,Diablo,1220.0,0.003,0.003,0.006,,,,2.0,,,,,,,,,,,No,37.904820730988014,-122.06085617174196,utility,2145,66,37.90480205,-122.0609609,0.009420354587382928,True
pge,ESQUON,39.60772314757492,-121.76822648360046,39.60773551464629,-121.76833358384148,0.009277502799445,,,12.0,,North Valley,10217.0,2.514,2.5500000000000003,5.064,,,,2.0,,,,,,,,,,,No,39.60772314757492,-121.76822648360046,utility,46,115,39.60773551,-121.7683336,0.009278795220243469,True
pge,UPPER LAKE,39.14608725571375,-122.91705320074546,39.1457404903959,-122.9166584019911,0.0514381921589508,,,12.0,,Humboldt,4287.0,1.778,2.021,3.799,,,,1.0,,,,,,,,,,,No,39.14608725571375,-122.91705320074546,utility,332,66,39.14574049,-122.9166584,0.051438338807039435,True
pge,ERTA,36.93065412756231,-121.76425096468428,36.93038172667928,-121.76424019825812,0.0303047099221725,,,4.16,,Central Coast,8351.0,0.619,0.642,1.261,,,,1.0,,,,,,,,,,,No,36.93065412756231,-121.76425096468428,utility,1270,66,36.93038173,-121.7642402,0.030304335970046933,True
pge,LIVE OAK,39.27647099774993,-121.66045789355064,35.49595251962872,-119.0094663369496,481.1594515911574,,,12.0,,Sacramento,15377.0,7.126,18.155,25.281,,,,2.0,,,,,,,,,,,No,39.27647099774993,-121.66045789355064,utility,1391,66,39.27639001,-121.6602999,0.016310828702636088,True
pge,CAPAY,39.77653431381928,-122.10355513930796,39.77596358103245,-122.10381094002612,0.0671221099085501,,,12.0,,North Valley,10211.0,2.273,2.401,4.674,,,,1.0,,,,,,,,,,,No,39.77653431381928,-122.10355513930796,utility,152,66,39.77596358,-122.1038109,0.06712110451283711,True
pge,NORTH DUBLIN,37.74483921993783,-121.85769752164674,,,,,,21.0,,Mission,1405.0,10.976,12.004,22.98,,,,1.0,,,,,,,,,,,No,37.74483921993783,-121.85769752164674,utility,1539,66,37.74483101,-121.857924,0.019934432410915748,True
pge,ORICK,41.29430712515043,-124.05658700221892,41.2942870880898,-124.0568713812834,0.0238624249797668,,,12.0,,Humboldt,19226.0,0.081,0.081,0.162,,,,1.0,,,,,,,,,,,No,41.29430712515043,-124.05658700221892,utility,2239,66,41.29428709,-124.0568714,0.023863961979952154,True
pge,REDBUD,39.027411633952696,-122.66266510947312,39.0275350391145,-122.66238326015598,0.0279471681258585,,,12.0,,Humboldt,4319.0,3.356,5.495,8.851,,,,2.0,,,,,,,,,,,No,39.027411633952696,-122.66266510947312,utility,331,115,39.02753504,-122.6623833,0.027944218192425884,True
pge,CLOVERDALE,38.79708983960812,-123.01056995209038,38.797151570512106,-123.01028683646923,0.0254774397577547,,,12.0,,Sonoma,4282.0,2.935,4.181,7.1160000000000005,,,,1.0,,,,,,,,,,,No,38.79708983960812,-123.01056995209038,utility,1338,66,38.70981339,-122.9079796,13.16518592721488,False
pge,DRUM,39.25637292962176,-120.76688167651604,39.25666722895088,-120.76679573880246,0.0335506828853927,,,12.0,,Sierra,15232.0,0.085,0.085,0.17,,,,1.0,,,,,,,,,,,No,39.25637292962176,-120.76688167651604,utility,8577,66,39.25664803,-120.7667715,0.032026908774855686,True
pge,MARTELL,38.36883661631688,-120.79647096943472,38.36910799331439,-120.79675402179372,0.0389808575977667,,,12.0,,Stockton,16301.0,10.056,10.856,20.912,,,,1.0,,,,,,,,,,,No,38.36883661631688,-120.79647096943472,utility,29,66,38.36910799,-120.796754,0.03897936955472356,True
pge,CRESSEY,37.42859913669553,-120.6384473846346,37.4284695169969,-120.63852774445644,0.0160651013055244,,,21.0,,Yosemite,25470.0,13.025,25.181,38.206,,,,1.0,,,,,,,,,,,No,37.42859913669553,-120.6384473846346,utility,608,115,37.42846952,-120.6385277,0.0160630681712973,True
