bus_i,kV,Type,Import,Lat,Lon,nearest_cec_name,nearest_cec_owner,nearest_cec_type,nearest_cec_lat,nearest_cec_lon,dist_km,matched
1646,230,Substation,' ',36.83274727,-119.3268009,Pine Flat,pge,SUBSTATION,36.83274219,-119.32678825,0.0012596004812979477,True
1647,230,Substation,' ',36.78002058,-120.729744,San Luis 5,pge,SUBSTATION,36.7800156,-120.72973117,0.0012697558693703253,True
1648,66,Substation,' ',36.80022812,-121.7690706,Dolan Road,pge,SUBSTATION,36.80022321,-121.7690576,0.0012797821845923385,True
1649,66,Substation,' ',36.62404337,-121.6880604,Reservation Road,pge,SUBSTATION,36.62403847,-121.68804744,0.0012784827165900482,True
1650,66,Substation,' ',36.71951798,-119.764185,California Ave,pge,SUBSTATION,36.71951295,-119.76417234,0.0012594062048148225,True
1651,115,Substation,' ',36.68886004,-119.7237178,Rio Bravo Fresno,pge,SUBSTATION,36.688855,-119.72370515,0.0012595050611480527,True
1652,115,Substation,' ',36.69045427,-119.7404181,Kings River Consrv.,pge,SUBSTATION,36.69044924,-119.74040539,0.0012637849243113395,True
1653,115,Substation,' ',36.53941711,-119.5806772,East Bank,pge_assumed,SUBSTATION,36.53941208,-119.58066457,0.0012593703078856058,True
1654,66,Substation,' ',36.13620329,-120.3442291,Coalinga 1,pge,SUBSTATION,36.13619835,-120.34421642,0.001264268563306557,True
1655,66,Substation,' ',36.23719531,-120.3147162,Coalinga 2,pge,SUBSTATION,36.23719035,-120.31470351,0.0012647230121752304,True
1656,230,Substation,' ',36.03673169,-117.7979617,Coso 1-3,sce,SUBSTATION,36.03672659,-117.79794942,0.001241290428603235,True
1657,115,Substation,' ',36.00145001,-117.7901861,Coso 8-9,sce,SUBSTATION,36.00144491,-117.79017382,0.00124173028322113,True
1658,115,Substation,' ',36.00617523,-117.8101854,Coso 7,sce,SUBSTATION,36.00617014,-117.81017308,0.0012443672059001844,True
1659,115,Substation,' ',36.01858914,-117.7915328,Coso 4-6,sce,SUBSTATION,36.01858404,-117.79152051,0.0012423167885250925,True
1660,66,Substation,' ',36.22587778,-121.1283444,Calpine Corp.,pge_assumed,SUBSTATION,36.22587288,-121.12833159,0.001271694045766695,True
1661,66,Substation,' ',36.05657777,-119.5499472,Quebec Corcoran State Prison,pge_assumed,SUBSTATION,36.05657278,-119.54993465,0.001257234903747243,True
1662,66,Substation,' ',35.46016796,-118.7796082,Kern River 1,sce,SUBSTATION,35.46016298,-118.77959579,0.0012529834494312754,True
1663,66,Substation,' ',35.77620279,-118.4362468,Kern River 3,sce,SUBSTATION,35.77619776,-118.43623443,0.0012482563948057472,True
1664,115,Substation,' ',35.55923489,-118.9576432,Poso Mt.,pge,SUBSTATION,35.55922992,-118.95763078,0.001252060552329562,True
1665,66,Substation,' ',35.45137667,-118.9839222,Omar,sce,SUBSTATION,35.45137171,-118.98390974,0.0012561800283341891,True
1666,115,Substation,' ',35.51575889,-119.040603,Sierra - (PG&E),pge,SUBSTATION,35.51575393,-119.04059051,0.0012578078734652091,True
