sap_substation_name,lcr_area,city_served,division,owner,n_city_rows,match_type,match_score,pge_name,pge_norm_name,pge_voltage_kv,pge_lat,pge_lon
CAPE HORN SUB,Sierra,Colfax,SIERRA,nonPGE,1,unmatched,0.0,,,,,
CARBONA SUB,Stockton,Tracy,STOCKTON,PGE,1,fuzzy,76.92307692307692,CORONA,CORONA,12.0,38.26512802531959,-122.6571608149265
CARLOTTA SUB,Humboldt,Fortuna; Hydesville,HUMBOLDT,PGE,2,exact,100.0,CARLOTTA,CARLOTTA,12.0,40.541262800218725,-124.06428630276322
CARNATION DAIRY SUB,Kern,Bakersfield,KERN,PGE,1,unmatched,0.0,,,,,
CAROLANDS SUB,Greater Bay Area,Burlingame; Hillsborough; San Mateo,PENINSULA,PGE,3,exact,100.0,CAROLANDS,CAROLANDS,4.16,37.552816739650304,-122.3759674032582
CARQUINEZ SUB,North Coast/North Bay,Vallejo,NORTH BAY,PGE,1,exact,100.0,CARQUINEZ,CARQUINEZ,12.0,38.09076019525074,-122.24869737229972
CARUTHERS SUB,Greater Fresno,Caruthers,FRESNO,PGE,1,exact,100.0,CARUTHERS,CARUTHERS,12.0,36.53207399155622,-119.88218484607894
CASSIDY SUB,Greater Fresno,Bonadelle Ranchos-Madera Ranchos; Fresno,YOSEMITE,PGE,2,exact,100.0,CASSIDY,CASSIDY,21.0,36.923692299083626,-119.81261089872176
CASTLE SUB,Greater Fresno,Merced,FRESNO,nonPGE,1,fuzzy,76.92307692307692,CATLETT,CATLETT,12.0,38.80879690086217,-121.5164995196137
CASTRO SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1,exact,100.0,CASTRO,CASTRO,4.16,37.74941830614643,-122.43417816629568
CASTRO VALLEY SUB,Greater Bay Area,Ashland; Castro Valley; Cherryland; Fairview; Hayward; Union City,MISSION,PGE,6,exact,100.0,CASTRO VALLEY,CASTRO VALLEY,12.0,37.6917841084946,-122.06126559376074
CASTROVILLE SUB,Greater Bay Area,Castroville,CENTRAL COAST,PGE,1,fuzzy,83.33333333333334,CASTRO VALLEY,CASTRO VALLEY,12.0,37.6917841084946,-122.06126559376074
CATLETT SUB,Sierra,Pleasant Grove,SIERRA,PGE,1,exact,100.0,CATLETT,CATLETT,12.0,38.80879690086217,-121.5164995196137
CAWELO B SUB,Kern,Famosa,KERN,PGE,1,unmatched,0.0,,,,,
CAWELO C SUB,Kern,Famosa,KERN,PGE,1,unmatched,0.0,,,,,
CAYETANO SUB,Greater Bay Area,Livermore,MISSION,PGE,1,exact,100.0,CAYETANO,CAYETANO,21.0,37.73836825979488,-121.77069648385788
CERTAINTEED SUB,Greater Fresno,Madera County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
CHALLENGE SUB,Sierra,Brownsville; Challenge; La Porte; Little Grass Valley,NORTH VALLEY,PGE,4,exact,100.0,CHALLENGE,CHALLENGE,12.0,39.48563129002225,-121.22014874811364
CHENEY SUB,Greater Fresno,Mendota,YOSEMITE,PGE,1,unmatched,0.0,,,,,
CHERRY SUB,Greater Bay Area,San Leandro,MISSION,PGE,1,unmatched,0.0,,,,,
CHEVRON PIPELINE KETTLEMAN SUB,Greater Fresno,Kings County,FRESNO,nonPGE,1,unmatched,0.0,,,,,
